floor,room_id,room_name,nearest_exit,path_notes,assembly,verified
1,101,Secretaries Office,L1-EAST-LOWER,Out door → east through hallway → EXIT on right wall,South parking lot,false
1,102,NA Office,L1-EAST-LOWER,Out door → east through hallway → EXIT on right wall,South parking lot,false
1,103,Classroom,L1-EAST-LOWER,Out door → east to main hallway → EXIT on right wall,South parking lot,false
1,104,Elders Office,L1-EAST-LOWER,Out door → east through corridor → EXIT on right wall,South parking lot,false
1,105,Classroom,L1-EAST-LOWER,Out nearest door → east to right hallway → EXIT,South parking lot,false
1,106,Library,L1-EAST-LOWER,Out door → east along hallway → EXIT on right wall,South parking lot,false
1,107,Classroom,L1-EAST-UPPER,Out door → short walk east → EXIT on right wall,South parking lot,false
1,108,Classroom,L1-EAST-UPPER,Out door → east → EXIT on right wall,South parking lot,false
1,109,Classroom,L1-EAST-UPPER,Out door → east → EXIT on right wall,South parking lot,false
1,110,Classroom,L1-EAST-UPPER,Out door → south/east to right hallway → EXIT,South parking lot,false
1,111,Teachers Supply Room,L1-EAST-UPPER,Out door → east along north hallway → EXIT,South parking lot,false
1,112,Supply Room,L1-EAST-UPPER,Out door → east along north hallway → EXIT,South parking lot,false
1,nursery,Nursery,L1-EAST-LOWER,East toward foyer hall → EXIT on right wall,South parking lot,false
1,cry-room,Cry Room,L1-EAST-LOWER,Out to hallway → east → EXIT,South parking lot,false
1,foyer,Foyer,L1-EAST-LOWER,East-side EXIT in right hallway,South parking lot,false
1,work-room,Work Room,L1-EAST-LOWER,EXIT on right wall (very close),South parking lot,false
2,204,Classroom,L2-EAST-UPPER,Out door → south to east hallway → EXIT,South parking lot,false
2,205,Classroom,L2-EAST-UPPER,Out door → south/east → EXIT,South parking lot,false
2,206,Classroom,L2-EAST-UPPER,Out door → east side hallway → EXIT,South parking lot,false
2,207,Classroom,L2-EAST-UPPER,Out door → east → EXIT,South parking lot,false
2,208,Classroom,L2-WEST-UPPER,Out door → west along north hallway → EXIT,South parking lot,false
2,209,Classroom,L2-WEST-UPPER,Out door → west → EXIT (near 212),South parking lot,false
2,210-hall,Classroom (north hall west),L2-WEST-UPPER,Out door → west → EXIT on left wall,South parking lot,false
2,210-quad-ne,Classroom (quad NE),L2-EAST-UPPER,Out door → east → EXIT on right wall,South parking lot,false
2,210-quad-nw,Classroom (quad NW),L2-WEST-UPPER,Out door → west/north → EXIT on left wall,South parking lot,false
2,210-quad-se,Classroom (quad SE),L2-EAST-LOWER,Out door → east/south → EXIT on right wall,South parking lot,false
2,210-quad-sw,Classroom (quad SW),L2-WEST-LOWER,Out door → west/south → EXIT on left (lower),South parking lot,false
2,212,Classroom,L2-WEST-UPPER,Out door → short walk west → EXIT,South parking lot,false
2,fellowship-hall,Fellowship Hall,L2-WEST-LOWER,West lower EXIT; backup east lower,South parking lot,false
